,date,type,year,avg_price,size,nb_sold
58,2016-11-13,conventional,2016,1.36,small,8.24E+06
59,2016-11-06,conventional,2016,1.44,small,7.80E+06
60,2016-10-30,conventional,2016,1.43,small,7.10E+06
61,2016-10-23,conventional,2016,1.34,small,7.58E+06
62,2016-10-16,conventional,2016,1.3,small,8.81E+06
63,2016-10-09,conventional,2016,1.27,small,9.55E+06
64,2016-10-02,conventional,2016,1.23,small,9.54E+06
65,2016-09-25,conventional,2016,1.22,small,1.06E+07
66,2016-09-18,conventional,2016,1.15,small,1.13E+07
67,2016-09-11,conventional,2016,1.08,small,1.30E+07
68,2016-09-04,conventional,2016,1.04,small,1.46E+07
69,2016-08-28,conventional,2016,1.09,small,1.26E+07
70,2016-08-21,conventional,2016,1.1,small,1.27E+07
71,2016-08-14,conventional,2016,1.12,small,1.24E+07
72,2016-08-07,conventional,2016,1.15,small,1.22E+07
73,2016-07-31,conventional,2016,1.23,small,1.02E+07
74,2016-07-24,conventional,2016,1.2,small,1.03E+07
75,2016-07-17,conventional,2016,1.15,small,1.03E+07
76,2016-07-10,conventional,2016,1.1,small,1.15E+07
77,2016-07-03,conventional,2016,1.06,small,1.25E+07
78,2016-06-26,conventional,2016,1.04,small,1.22E+07
79,2016-06-19,conventional,2016,1.02,small,1.35E+07
80,2016-06-12,conventional,2016,1.04,small,1.23E+07
81,2016-06-05,conventional,2016,0.97,small,1.38E+07
82,2016-05-29,conventional,2016,0.94,small,1.37E+07
83,2016-05-22,conventional,2016,0.93,small,1.17E+07
84,2016-05-15,conventional,2016,0.89,small,1.25E+07
85,2016-05-08,conventional,2016,0.82,small,1.42E+07
86,2016-05-01,conventional,2016,0.84,small,1.38E+07
87,2016-04-24,conventional,2016,0.87,small,1.29E+07
88,2016-04-17,conventional,2016,0.9,small,1.20E+07
89,2016-04-10,conventional,2016,0.9,small,1.29E+07
90,2016-04-03,conventional,2016,0.94,small,1.13E+07
91,2016-03-27,conventional,2016,0.94,small,1.13E+07
92,2016-03-20,conventional,2016,0.93,small,1.11E+07
93,2016-03-13,conventional,2016,0.93,small,1.17E+07
94,2016-03-06,conventional,2016,0.95,small,1.18E+07
95,2016-02-28,conventional,2016,0.91,small,1.19E+07
96,2016-02-21,conventional,2016,0.94,small,1.00E+07
97,2016-02-14,conventional,2016,0.88,small,1.19E+07
98,2016-02-07,conventional,2016,0.76,small,1.66E+07
99,2016-01-31,conventional,2016,0.93,small,1.11E+07
100,2016-01-24,conventional,2016,0.95,small,7.02E+06
101,2016-01-17,conventional,2016,0.94,small,1.00E+07
102,2016-01-10,conventional,2016,0.93,small,1.14E+07
103,2016-01-03,conventional,2016,0.86,small,1.16E+07
104,2017-12-31,conventional,2017,0.98,small,1.31E+07
105,2017-12-24,conventional,2017,1.18,small,1.00E+07
106,2017-12-17,conventional,2017,1.07,small,1.07E+07
107,2017-12-10,conventional,2017,1.03,small,1.19E+07
108,2017-12-03,conventional,2017,1.09,small,1.18E+07
109,2017-11-26,conventional,2017,1.24,small,9.18E+06
110,2017-11-19,conventional,2017,1.17,small,1.12E+07
111,2017-11-12,conventional,2017,1.15,small,1.15E+07
112,2017-11-05,conventional,2017,1.19,small,1.10E+07
113,2017-10-29,conventional,2017,1.29,small,1.06E+07
114,2017-10-22,conventional,2017,1.44,small,9.61E+06
115,2017-10-15,conventional,2017,1.58,small,8.77E+06
116,2017-10-08,conventional,2017,1.65,small,8.91E+06
117,2017-10-01,conventional,2017,1.64,small,8.34E+06
118,2017-09-24,conventional,2017,1.62,small,8.65E+06
119,2017-09-17,conventional,2017,1.57,small,9.15E+06
120,2017-09-10,conventional,2017,1.56,small,9.50E+06
121,2017-09-03,conventional,2017,1.57,small,9.78E+06
122,2017-08-27,conventional,2017,1.47,small,1.07E+07
123,2017-08-20,conventional,2017,1.41,small,1.05E+07
124,2017-08-13,conventional,2017,1.33,small,1.10E+07
125,2017-08-06,conventional,2017,1.33,small,1.13E+07
126,2017-07-30,conventional,2017,1.32,small,1.11E+07
127,2017-07-23,conventional,2017,1.31,small,1.14E+07
128,2017-07-16,conventional,2017,1.33,small,1.12E+07
129,2017-07-09,conventional,2017,1.17,small,1.30E+07
130,2017-07-02,conventional,2017,1.21,small,1.26E+07
131,2017-06-25,conventional,2017,1.17,small,1.29E+07
132,2017-06-18,conventional,2017,1.18,small,1.30E+07
133,2017-06-11,conventional,2017,1.21,small,1.35E+07
134,2017-06-04,conventional,2017,1.24,small,1.33E+07
135,2017-05-28,conventional,2017,1.28,small,1.28E+07
136,2017-05-21,conventional,2017,1.26,small,1.21E+07
137,2017-05-14,conventional,2017,1.19,small,1.28E+07
138,2017-05-07,conventional,2017,1.09,small,1.71E+07
139,2017-04-30,conventional,2017,1.18,small,1.33E+07
140,2017-04-23,conventional,2017,1.18,small,1.22E+07
141,2017-04-16,conventional,2017,1.23,small,1.23E+07
142,2017-04-09,conventional,2017,1.21,small,1.21E+07
143,2017-04-02,conventional,2017,1.21,small,1.23E+07
144,2017-03-26,conventional,2017,1.24,small,1.17E+07
145,2017-03-19,conventional,2017,1.25,small,1.10E+07
146,2017-03-12,conventional,2017,1.22,small,1.12E+07
147,2017-03-05,conventional,2017,1.13,small,1.13E+07
148,2017-02-26,conventional,2017,0.99,small,1.32E+07
149,2017-02-19,conventional,2017,0.99,small,1.13E+07
150,2017-02-12,conventional,2017,0.87,small,1.51E+07
151,2017-02-05,conventional,2017,0.77,small,2.27E+07
152,2017-01-29,conventional,2017,0.96,small,1.40E+07
153,2017-01-22,conventional,2017,0.94,small,1.43E+07
154,2017-01-15,conventional,2017,0.98,small,1.29E+07
155,2017-01-08,conventional,2017,0.99,small,1.18E+07
156,2017-01-01,conventional,2017,0.89,small,1.27E+07
157,2018-03-25,conventional,2018,1.03,small,1.41E+07
158,2018-03-18,conventional,2018,1.05,small,1.37E+07
159,2018-03-11,conventional,2018,1.09,small,1.41E+07
160,2018-03-04,conventional,2018,1.07,small,1.44E+07
161,2018-02-25,conventional,2018,1.06,small,1.38E+07
162,2018-02-18,conventional,2018,1.08,small,1.33E+07
163,2018-02-11,conventional,2018,0.97,small,1.59E+07
164,2018-02-04,conventional,2018,0.87,small,2.16E+07
165,2018-01-28,conventional,2018,1.09,small,1.46E+07
166,2018-01-21,conventional,2018,1.08,small,1.42E+07
167,2018-01-14,conventional,2018,1.2,small,1.26E+07
168,2018-01-07,conventional,2018,1.13,small,1.37E+07
169,2015-12-27,organic,2015,1.52,small,8.97E+04
170,2015-12-20,organic,2015,1.53,small,9.39E+04
171,2015-12-13,organic,2015,1.43,small,9.18E+04
172,2015-12-06,organic,2015,1.52,small,9.02E+04
173,2015-11-29,organic,2015,1.5,small,7.92E+04
174,2015-11-22,organic,2015,1.49,small,9.52E+04
175,2015-11-15,organic,2015,1.6,small,1.10E+05
176,2015-11-08,organic,2015,1.54,small,1.67E+05
177,2015-11-01,organic,2015,1.47,small,1.13E+05
178,2015-10-25,organic,2015,1.62,small,1.09E+05
179,2015-10-18,organic,2015,1.71,small,1.09E+05
180,2015-10-11,organic,2015,1.69,small,9.30E+04
181,2015-10-04,organic,2015,1.72,small,9.54E+04
182,2015-09-27,organic,2015,1.75,small,1.15E+05
183,2015-09-20,organic,2015,1.77,small,1.26E+05
184,2015-09-13,organic,2015,1.8,small,1.34E+05
185,2015-09-06,organic,2015,1.78,small,1.32E+05
186,2015-08-30,organic,2015,1.66,small,1.51E+05
187,2015-08-23,organic,2015,1.72,small,1.77E+05
188,2015-08-16,organic,2015,1.75,small,1.51E+05
189,2015-08-09,organic,2015,1,small,1.70E+05
190,2015-08-02,organic,2015,1,small,1.64E+05
191,2015-07-26,organic,2015,1,small,1.70E+05
192,2015-07-19,organic,2015,1,small,1.60E+05
193,2015-07-12,organic,2015,1,small,1.79E+05
194,2015-07-05,organic,2015,1,small,2.05E+05
195,2015-06-28,organic,2015,1.64,small,1.92E+05
196,2015-06-21,organic,2015,1.66,small,2.02E+05
197,2015-06-14,organic,2015,1.68,small,2.03E+05
198,2015-06-07,organic,2015,1.67,small,2.01E+05
199,2015-05-31,organic,2015,1.58,small,2.05E+05
200,2015-05-24,organic,2015,1.59,small,2.35E+05
201,2015-05-17,organic,2015,1.5,small,2.46E+05
202,2015-05-10,organic,2015,1.42,small,2.52E+05
203,2015-05-03,organic,2015,1.37,small,3.24E+05
204,2015-04-26,organic,2015,1.45,small,3.22E+05
205,2015-04-19,organic,2015,1.59,small,2.15E+05
206,2015-04-12,organic,2015,1.53,small,2.03E+05
207,2015-04-05,organic,2015,1.63,small,1.98E+05
208,2015-03-29,organic,2015,1.6,small,1.93E+05
209,2015-03-22,organic,2015,1.49,small,2.37E+05
210,2015-03-15,organic,2015,1.5,small,2.36E+05
211,2015-03-08,organic,2015,1.49,small,2.53E+05
212,2015-03-01,organic,2015,1.4,small,3.62E+05
213,2015-02-22,organic,2015,1.51,small,2.73E+05
214,2015-02-15,organic,2015,1.58,small,2.08E+05
215,2015-02-08,organic,2015,1.48,small,2.16E+05
216,2015-02-01,organic,2015,1.36,small,3.03E+05
217,2015-01-25,organic,2015,1.53,small,2.08E+05
218,2015-01-18,organic,2015,1.42,small,2.54E+05
219,2015-01-11,organic,2015,1.42,small,2.71E+05
220,2015-01-04,organic,2015,1.46,small,2.33E+05
221,2016-12-25,organic,2016,1.34,small,9.39E+04
222,2016-12-18,organic,2016,1.43,small,9.77E+04
223,2016-12-11,organic,2016,1.42,small,9.30E+04
224,2016-12-04,organic,2016,1.56,small,1.07E+05
225,2016-11-27,organic,2016,1.64,small,1.00E+05
226,2016-11-20,organic,2016,1.63,small,1.11E+05
227,2016-11-13,organic,2016,1.7,small,1.10E+05
228,2016-11-06,organic,2016,1.68,small,1.17E+05
229,2016-10-30,organic,2016,1.93,small,1.24E+05
230,2016-10-23,organic,2016,1.63,small,1.31E+05
231,2016-10-16,organic,2016,1.5,small,1.14E+05
232,2016-10-09,organic,2016,1.52,small,1.27E+05
233,2016-10-02,organic,2016,1.71,small,1.32E+05
234,2016-09-25,organic,2016,1.69,small,1.20E+05
235,2016-09-18,organic,2016,1.67,small,1.27E+05
236,2016-09-11,organic,2016,1.52,small,1.45E+05
237,2016-09-04,organic,2016,1.54,small,1.38E+05
238,2016-08-28,organic,2016,1.49,small,1.36E+05
239,2016-08-21,organic,2016,1.51,small,1.78E+05
240,2016-08-14,organic,2016,1.48,small,1.87E+05
241,2016-08-07,organic,2016,1.55,small,1.51E+05
242,2016-07-31,organic,2016,1.58,small,1.56E+05
243,2016-07-24,organic,2016,1.65,small,1.59E+05
244,2016-07-17,organic,2016,1.63,small,1.53E+05
245,2016-07-10,organic,2016,1.51,small,1.53E+05
246,2016-07-03,organic,2016,1.47,small,1.60E+05
247,2016-06-26,organic,2016,1.5,small,1.71E+05
248,2016-06-19,organic,2016,1.45,small,1.67E+05
249,2016-06-12,organic,2016,1.45,small,1.76E+05
250,2016-06-05,organic,2016,1.43,small,1.52E+05
251,2016-05-29,organic,2016,1.41,small,1.37E+05
252,2016-05-22,organic,2016,1.36,small,1.67E+05
253,2016-05-15,organic,2016,1.45,small,1.46E+05
254,2016-05-08,organic,2016,1.3,small,1.32E+05
255,2016-05-01,organic,2016,1.28,small,2.39E+05
256,2016-04-24,organic,2016,1.25,small,2.25E+05
257,2016-04-17,organic,2016,1.38,small,1.15E+05
258,2016-04-10,organic,2016,1.26,small,1.09E+05
259,2016-04-03,organic,2016,1.44,small,1.19E+05
260,2016-03-27,organic,2016,1.44,small,1.13E+05
261,2016-03-20,organic,2016,1.27,small,1.05E+05
262,2016-03-13,organic,2016,1.29,small,1.32E+05
263,2016-03-06,organic,2016,1.28,small,1.27E+05
264,2016-02-28,organic,2016,1.44,small,1.10E+05
265,2016-02-21,organic,2016,1.45,small,1.04E+05
266,2016-02-14,organic,2016,1.37,small,1.03E+05
267,2016-02-07,organic,2016,1.44,small,1.01E+05
268,2016-01-31,organic,2016,1.43,small,1.09E+05
269,2016-01-24,organic,2016,1.41,small,9.93E+04
270,2016-01-17,organic,2016,1.44,small,1.16E+05
271,2016-01-10,organic,2016,1.35,small,1.14E+05
272,2016-01-03,organic,2016,1.43,small,1.25E+05
273,2017-12-31,organic,2017,1.52,small,1.21E+05
274,2017-12-24,organic,2017,1.64,small,1.03E+05
275,2017-12-17,organic,2017,1.57,small,9.49E+04
276,2017-12-10,organic,2017,1.54,small,9.43E+04
277,2017-12-03,organic,2017,1.62,small,9.93E+04
278,2017-11-26,organic,2017,1.72,small,7.78E+04
279,2017-11-19,organic,2017,1.77,small,8.81E+04
280,2017-11-12,organic,2017,1.81,small,9.33E+04
281,2017-11-05,organic,2017,1.82,small,8.81E+04
282,2017-10-29,organic,2017,1.84,small,8.87E+04
283,2017-10-22,organic,2017,1.82,small,8.93E+04
284,2017-10-15,organic,2017,1.85,small,1.04E+05
285,2017-10-08,organic,2017,1.9,small,1.01E+05
286,2017-10-01,organic,2017,1.95,small,1.00E+05
287,2017-09-24,organic,2017,1.94,small,1.16E+05
288,2017-09-17,organic,2017,2,small,1.41E+05
289,2017-09-10,organic,2017,2.03,small,1.15E+05
290,2017-09-03,organic,2017,2.06,small,1.14E+05
291,2017-08-27,organic,2017,2.09,small,1.13E+05
292,2017-08-20,organic,2017,1.96,small,1.09E+05
293,2017-08-13,organic,2017,1.88,small,9.80E+04
294,2017-08-06,organic,2017,1.83,small,1.13E+05
295,2017-07-30,organic,2017,1.78,small,1.00E+05
296,2017-07-23,organic,2017,1.76,small,1.14E+05
297,2017-07-16,organic,2017,1.78,small,9.43E+04
298,2017-07-09,organic,2017,1.71,small,1.09E+05
299,2017-07-02,organic,2017,1.74,small,1.28E+05
300,2017-06-25,organic,2017,1.77,small,1.23E+05
301,2017-06-18,organic,2017,1.71,small,1.69E+05
302,2017-06-11,organic,2017,1.56,small,1.61E+05
303,2017-06-04,organic,2017,1.64,small,1.66E+05
304,2017-05-28,organic,2017,1.69,small,1.63E+05
305,2017-05-21,organic,2017,1.71,small,1.67E+05
306,2017-05-14,organic,2017,1.55,small,1.65E+05
307,2017-05-07,organic,2017,1.57,small,1.73E+05
308,2017-04-30,organic,2017,1.68,small,1.99E+05
309,2017-04-23,organic,2017,1.61,small,1.53E+05
310,2017-04-16,organic,2017,1.49,small,1.77E+05
311,2017-04-09,organic,2017,1.43,small,1.49E+05
312,2017-04-02,organic,2017,1.42,small,1.83E+05
313,2017-03-26,organic,2017,1.29,small,1.61E+05
314,2017-03-19,organic,2017,1.5,small,1.72E+05
315,2017-03-12,organic,2017,1.38,small,1.53E+05
316,2017-03-05,organic,2017,1.16,small,1.84E+05
317,2017-02-26,organic,2017,1.21,small,1.50E+05
318,2017-02-19,organic,2017,1.31,small,2.51E+05
319,2017-02-12,organic,2017,1.41,small,1.37E+05
320,2017-02-05,organic,2017,1.36,small,1.36E+05
321,2017-01-29,organic,2017,1.43,small,1.32E+05
322,2017-01-22,organic,2017,1.37,small,1.16E+05
323,2017-01-15,organic,2017,1.44,small,1.21E+05
324,2017-01-08,organic,2017,1.43,small,1.18E+05
325,2017-01-01,organic,2017,1.48,small,9.98E+04
326,2018-03-25,organic,2018,1.55,small,1.21E+05
327,2018-03-18,organic,2018,1.54,small,1.71E+05
328,2018-03-11,organic,2018,1.52,small,1.29E+05
329,2018-03-04,organic,2018,1.52,small,1.42E+05
330,2018-02-25,organic,2018,1.57,small,1.23E+05
331,2018-02-18,organic,2018,1.52,small,2.47E+05
332,2018-02-11,organic,2018,1.56,small,9.85E+04
333,2018-02-04,organic,2018,1.53,small,1.18E+05
334,2018-01-28,organic,2018,1.61,small,1.19E+05
335,2018-01-21,organic,2018,1.63,small,1.09E+05
336,2018-01-14,organic,2018,1.59,small,1.46E+05
337,2018-01-07,organic,2018,1.51,small,1.30E+05
338,2015-12-27,conventional,2015,0.95,large,1.02E+07
339,2015-12-20,conventional,2015,0.98,large,9.33E+06
340,2015-12-13,conventional,2015,0.93,large,1.08E+07
341,2015-12-06,conventional,2015,0.89,large,1.22E+07
342,2015-11-29,conventional,2015,0.99,large,9.00E+06
343,2015-11-22,conventional,2015,0.96,large,1.04E+07
344,2015-11-15,conventional,2015,0.92,large,1.17E+07
345,2015-11-08,conventional,2015,0.97,large,1.22E+07
346,2015-11-01,conventional,2015,0.97,large,1.42E+07
347,2015-10-25,conventional,2015,1.04,large,1.14E+07
348,2015-10-18,conventional,2015,0.99,large,1.41E+07
349,2015-10-11,conventional,2015,1,large,1.33E+07
350,2015-10-04,conventional,2015,1.02,large,1.38E+07
351,2015-09-27,conventional,2015,1.03,large,1.38E+07
352,2015-09-20,conventional,2015,1.02,large,1.39E+07
353,2015-09-13,conventional,2015,1.03,large,1.49E+07
354,2015-09-06,conventional,2015,1.02,large,1.43E+07
355,2015-08-30,conventional,2015,1.07,large,1.20E+07
356,2015-08-23,conventional,2015,1.08,large,1.26E+07
357,2015-08-16,conventional,2015,1.05,large,1.30E+07
358,2015-08-09,conventional,2015,1.05,large,1.39E+07
359,2015-08-02,conventional,2015,1.09,large,1.22E+07
360,2015-07-26,conventional,2015,1.07,large,1.20E+07
361,2015-07-19,conventional,2015,1.07,large,1.26E+07
362,2015-07-12,conventional,2015,1.07,large,1.24E+07
363,2015-07-05,conventional,2015,1.04,large,1.42E+07
364,2015-06-28,conventional,2015,1.06,large,1.15E+07
365,2015-06-21,conventional,2015,1.02,large,1.32E+07
366,2015-06-14,conventional,2015,0.98,large,1.28E+07
367,2015-06-07,conventional,2015,1,large,1.26E+07
368,2015-05-31,conventional,2015,1.03,large,1.16E+07
369,2015-05-24,conventional,2015,1.04,large,1.25E+07
370,2015-05-17,conventional,2015,1.06,large,1.10E+07
371,2015-05-10,conventional,2015,1.02,large,1.35E+07
372,2015-05-03,conventional,2015,0.96,large,1.66E+07
373,2015-04-26,conventional,2015,1.07,large,1.09E+07
374,2015-04-19,conventional,2015,1.03,large,1.23E+07
375,2015-04-12,conventional,2015,1.02,large,1.12E+07
376,2015-04-05,conventional,2015,1.06,large,1.15E+07
377,2015-03-29,conventional,2015,1.04,large,1.15E+07
378,2015-03-22,conventional,2015,1.01,large,1.27E+07
379,2015-03-15,conventional,2015,1.04,large,1.06E+07
380,2015-03-08,conventional,2015,1.02,large,1.10E+07
381,2015-03-01,conventional,2015,0.97,large,1.37E+07
382,2015-02-22,conventional,2015,1.02,large,1.14E+07
383,2015-02-15,conventional,2015,1.03,large,9.78E+06
384,2015-02-08,conventional,2015,0.95,large,1.34E+07
385,2015-02-01,conventional,2015,0.89,large,1.90E+07
386,2015-01-25,conventional,2015,1.04,large,1.07E+07
387,2015-01-18,conventional,2015,1.03,large,1.17E+07
388,2015-01-11,conventional,2015,1.01,large,1.21E+07
389,2015-01-04,conventional,2015,0.95,large,1.36E+07
390,2016-12-25,conventional,2016,1,large,1.03E+07
391,2016-12-18,conventional,2016,0.96,large,1.03E+07
392,2016-12-11,conventional,2016,0.98,large,9.97E+06
393,2016-12-04,conventional,2016,1,large,9.91E+06
394,2016-11-27,conventional,2016,1.21,large,7.34E+06
395,2016-11-20,conventional,2016,1.27,large,8.03E+06
396,2016-11-13,conventional,2016,1.36,large,7.76E+06
397,2016-11-06,conventional,2016,1.44,large,7.13E+06
398,2016-10-30,conventional,2016,1.43,large,6.85E+06
399,2016-10-23,conventional,2016,1.34,large,8.11E+06
400,2016-10-16,conventional,2016,1.3,large,8.86E+06
401,2016-10-09,conventional,2016,1.27,large,9.58E+06
402,2016-10-02,conventional,2016,1.23,large,9.12E+06
403,2016-09-25,conventional,2016,1.22,large,9.26E+06
404,2016-09-18,conventional,2016,1.15,large,9.48E+06
405,2016-09-11,conventional,2016,1.08,large,1.04E+07
406,2016-09-04,conventional,2016,1.04,large,1.11E+07
407,2016-08-28,conventional,2016,1.09,large,1.04E+07
408,2016-08-21,conventional,2016,1.1,large,9.91E+06
409,2016-08-14,conventional,2016,1.12,large,1.09E+07
410,2016-08-07,conventional,2016,1.15,large,1.07E+07
411,2016-07-31,conventional,2016,1.23,large,1.04E+07
412,2016-07-24,conventional,2016,1.2,large,1.08E+07
413,2016-07-17,conventional,2016,1.15,large,1.06E+07
414,2016-07-10,conventional,2016,1.1,large,1.17E+07
415,2016-07-03,conventional,2016,1.06,large,1.33E+07
416,2016-06-26,conventional,2016,1.04,large,1.20E+07
417,2016-06-19,conventional,2016,1.02,large,1.28E+07
418,2016-06-12,conventional,2016,1.04,large,1.15E+07
419,2016-06-05,conventional,2016,0.97,large,1.34E+07
420,2016-05-29,conventional,2016,0.94,large,1.38E+07
421,2016-05-22,conventional,2016,0.93,large,1.30E+07
422,2016-05-15,conventional,2016,0.89,large,1.44E+07
423,2016-05-08,conventional,2016,0.82,large,1.79E+07
424,2016-05-01,conventional,2016,0.84,large,1.59E+07
425,2016-04-24,conventional,2016,0.87,large,1.44E+07
426,2016-04-17,conventional,2016,0.9,large,1.29E+07
427,2016-04-10,conventional,2016,0.9,large,1.15E+07
428,2016-04-03,conventional,2016,0.94,large,1.15E+07
429,2016-03-27,conventional,2016,0.94,large,1.28E+07
430,2016-03-20,conventional,2016,0.93,large,1.37E+07
431,2016-03-13,conventional,2016,0.93,large,1.31E+07
432,2016-03-06,conventional,2016,0.95,large,1.22E+07
433,2016-02-28,conventional,2016,0.91,large,1.32E+07
434,2016-02-21,conventional,2016,0.94,large,1.20E+07
435,2016-02-14,conventional,2016,0.88,large,1.32E+07
436,2016-02-07,conventional,2016,0.76,large,2.05E+07
437,2016-01-31,conventional,2016,0.93,large,1.33E+07
438,2016-01-24,conventional,2016,0.95,large,1.41E+07
439,2016-01-17,conventional,2016,0.94,large,1.38E+07
440,2016-01-10,conventional,2016,0.93,large,1.32E+07
441,2016-01-03,conventional,2016,0.86,large,1.61E+07
442,2017-12-31,conventional,2017,0.98,large,1.32E+07
443,2017-12-24,conventional,2017,1.18,large,8.96E+06
444,2017-12-17,conventional,2017,1.07,large,9.94E+06
445,2017-12-10,conventional,2017,1.03,large,1.17E+07
446,2017-12-03,conventional,2017,1.09,large,1.09E+07
447,2017-11-26,conventional,2017,1.24,large,7.31E+06
448,2017-11-19,conventional,2017,1.17,large,7.85E+06
449,2017-11-12,conventional,2017,1.15,large,1.00E+07
450,2017-11-05,conventional,2017,1.19,large,9.78E+06
451,2017-10-29,conventional,2017,1.29,large,9.80E+06
452,2017-10-22,conventional,2017,1.44,large,8.76E+06
453,2017-10-15,conventional,2017,1.58,large,8.53E+06
454,2017-10-08,conventional,2017,1.65,large,7.61E+06
455,2017-10-01,conventional,2017,1.64,large,8.36E+06
456,2017-09-24,conventional,2017,1.62,large,8.30E+06
457,2017-09-17,conventional,2017,1.57,large,8.33E+06
458,2017-09-10,conventional,2017,1.56,large,8.37E+06
459,2017-09-03,conventional,2017,1.57,large,8.57E+06
460,2017-08-27,conventional,2017,1.47,large,8.59E+06
461,2017-08-20,conventional,2017,1.41,large,8.84E+06
462,2017-08-13,conventional,2017,1.33,large,1.12E+07
463,2017-08-06,conventional,2017,1.33,large,1.10E+07
464,2017-07-30,conventional,2017,1.32,large,1.11E+07
465,2017-07-23,conventional,2017,1.31,large,1.13E+07
466,2017-07-16,conventional,2017,1.33,large,1.12E+07
467,2017-07-09,conventional,2017,1.17,large,1.10E+07
468,2017-07-02,conventional,2017,1.21,large,1.10E+07
469,2017-06-25,conventional,2017,1.17,large,1.08E+07
470,2017-06-18,conventional,2017,1.18,large,1.12E+07
471,2017-06-11,conventional,2017,1.21,large,1.01E+07
472,2017-06-04,conventional,2017,1.24,large,1.02E+07
473,2017-05-28,conventional,2017,1.28,large,1.09E+07
474,2017-05-21,conventional,2017,1.26,large,1.02E+07
475,2017-05-14,conventional,2017,1.19,large,9.72E+06
476,2017-05-07,conventional,2017,1.09,large,1.36E+07
477,2017-04-30,conventional,2017,1.18,large,1.13E+07
478,2017-04-23,conventional,2017,1.18,large,1.02E+07
479,2017-04-16,conventional,2017,1.23,large,1.01E+07
480,2017-04-09,conventional,2017,1.21,large,1.08E+07
481,2017-04-02,conventional,2017,1.21,large,9.73E+06
482,2017-03-26,conventional,2017,1.24,large,9.66E+06
483,2017-03-19,conventional,2017,1.25,large,9.62E+06
484,2017-03-12,conventional,2017,1.22,large,9.58E+06
485,2017-03-05,conventional,2017,1.13,large,1.08E+07
486,2017-02-26,conventional,2017,0.99,large,1.14E+07
487,2017-02-19,conventional,2017,0.99,large,1.04E+07
